8/1b2Kp2/8/5N1k/1N6/7P/8/8 w - - 0 1 | ♚♝♟ vs ♔♘♘♙ | w | 1-0
b3K3/8/3P4/4k1N1/8/8/8/8 w - - 0 1 | ♚♝ vs ♔♘♙ | w | 1-0
k2N2K1/8/8/8/5R2/3n4/3p4/8 w - - 0 1 | ♚♞♟ vs ♔♖♘ | w | ½-½
8/3pk3/6P1/P5Pp/5B2/1p5b/pP6/K7 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♗♙♙♙♙ | w | ½-½
8/3p4/6b1/P1P5/k2P4/3p4/2P5/2K5 w - - 0 1 | ♚♝♟♟ vs ♔♙♙♙♙ | w | 1-0
6n1/7k/2p2p2/8/P2P4/8/8/2B4K w - - 0 1 | ♚♞♟♟ vs ♔♗♙♙ | w | 1-0
6N1/8/3P4/3n1P2/5p2/3K1k2/6n1/8 w - - 0 1 | ♚♞♞♟ vs ♔♘♙♙ | w | 1-0
8/2b2pp1/K2p4/p4P2/P7/6P1/8/2k3B1 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♗♙♙♙ | w | 1-0
8/6b1/5p2/P1k5/8/7p/2N2K1P/8 w - - 0 1 | ♚♝♟♟ vs ♔♘♙♙ | w | 1-0
8/5p2/5P2/4P1k1/8/p7/P7/2KN1b2 w - - 0 1 | ♚♝♟♟ vs ♔♘♙♙♙ | w | 1-0
8/8/2pN4/k7/8/p2K1b2/P7/2B5 w - - 0 1 | ♚♝♟♟ vs ♔♗♘♙ | w | 1-0
8/1p2Rp1p/2N3kP/1P3q2/4pP2/6K1/P7/8 w - - 0 1 | ♚♛♟♟♟♟ vs ♔♖♘♙♙♙♙ | w | 1-0
8/7p/3Pr3/6k1/8/1b1N3K/5N2/8 w - - 0 1 | ♚♜♝♟ vs ♔♘♘♙ | w | 1-0
1n6/8/P4p1K/5k2/6p1/rN1p4/2P4P/4R3 w - - 0 1 | ♚♜♞♟♟♟ vs ♔♖♘♙♙♙ | w | 1-0
6k1/6pb/N5p1/K5N1/8/8/8/8 w - - 0 1 | ♚♝♟♟ vs ♔♘♘ | w | 1-0
3n4/6k1/6P1/1KP5/8/8/8/3b4 w - - 0 1 | ♚♝♞ vs ♔♙♙ | w | ½-½
8/8/8/4N3/8/B1k2p1p/4Pp1P/2K5 w - - 0 1 | ♚♟♟♟ vs ♔♗♘♙♙ | w | 1-0
8/4NR2/3n4/8/8/7K/4p3/7k w - - 0 1 | ♚♞♟ vs ♔♖♘ | w | ½-½
1B6/1P1K1n2/8/8/8/p4k1p/8/8 w - - 0 1 | ♚♞♟♟ vs ♔♗♙ | w | 1-0
8/7k/3P4/3K4/B6r/8/8/8 w - - 0 1 | ♚♜ vs ♔♗♙ | w | 1-0
3K4/N7/P7/3k4/7R/1p6/8/2nb3n w - - 0 1 | ♚♝♞♞♟ vs ♔♖♘♙ | w | 1-0
k2K4/7p/1P1n1r1Q/6N1/q7/8/8/5R2 w - - 0 1 | ♚♛♜♞♟ vs ♔♕♖♘♙ | w | ½-½
K7/1p6/P7/PrP5/8/4k3/8/8 w - - 0 1 | ♚♜♟ vs ♔♙♙♙ | w | 1-0
8/4pK2/4Pb1P/3P4/p2k4/n7/8/8 w - - 0 1 | ♚♝♞♟♟ vs ♔♙♙♙ | w | ½-½
8/7N/8/3p3b/3k4/3P4/2PK4/8 w - - 0 1 | ♚♝♟ vs ♔♘♙♙ | w | 1-0
8/5R2/8/1k2q2p/1P5P/5p2/P1N4P/6Kn w - - 0 1 | ♚♛♞♟♟ vs ♔♖♘♙♙♙♙ | w | 1-0
8/1p6/8/4B3/8/5B2/1p1p3p/bk1K4 w - - 0 1 | ♚♝♟♟♟♟ vs ♔♗♗ | w | 1-0
5n1N/8/2K4k/2N5/3b2P1/8/8/4B3 w - - 0 1 | ♚♝♞ vs ♔♗♘♘♙ | w | 1-0
8/1K6/8/1N2k3/1P5n/8/6BN/2b5 w - - 0 1 | ♚♝♞ vs ♔♗♘♘♙ | w | 1-0
8/1p1p2K1/2pB4/2P1Pk2/p1Pp4/3P4/5P2/8 w - - 0 1 | ♚♟♟♟♟♟ vs ♔♗♙♙♙♙♙ | w | 1-0
8/2p3p1/6K1/8/2r5/3N2p1/5R2/7k w - - 0 1 | ♚♜♟♟♟ vs ♔♖♘ | w | 1-0
6k1/7p/3P4/7B/7K/4b2N/5p1p/8 w - - 0 1 | ♚♝♟♟♟ vs ♔♗♘♙ | w | ½-½
5n2/8/1K6/1P2P3/3p4/8/1k6/8 w - - 0 1 | ♚♞♟ vs ♔♙♙ | w | ½-½
8/p7/8/1P2K3/P6P/5b2/5k2/8 w - - 0 1 | ♚♝♟ vs ♔♙♙♙ | w | 1-0
8/4K3/p1P3Br/1p5p/k1p1p3/P3N3/8/8 w - - 0 1 | ♚♜♟♟♟♟♟ vs ♔♗♘♙♙ | w | 1-0
8/3bP3/3k4/4b3/1N6/3K4/3R4/8 w - - 0 1 | ♚♝♝ vs ♔♖♘♙ | w | 1-0
5k1b/8/6Pp/8/3P2P1/6np/1B6/4K2B w - - 0 1 | ♚♝♞♟♟ vs ♔♗♗♙♙♙ | w | 1-0
4b2K/8/1R6/1P6/4P3/6k1/8/2n5 w - - 0 1 | ♚♝♞ vs ♔♖♙♙ | w | 1-0
K2b3q/3kP3/5P2/8/2Pp4/6R1/4P3/7B w - - 0 1 | ♚♛♝♟ vs ♔♖♗♙♙♙♙ | w | ½-½
7N/8/8/B7/K5P1/6p1/kr6/8 w - - 0 1 | ♚♜♟ vs ♔♗♘♙ | w | ½-½
8/2Rp1r2/2p5/1k2P3/3K1p2/8/3P4/8 w - - 0 1 | ♚♜♟♟♟ vs ♔♖♙♙ | w | 1-0
8/p3r3/Rp6/P7/2k5/5n2/2N5/7K w - - 0 1 | ♚♜♞♟♟ vs ♔♖♘♙ | w | 1-0
8/K5p1/8/8/7p/7k/8/6R1 w - - 0 1 | ♚♟♟ vs ♔♖ | w | 1-0
q4N1k/1p3p2/6PK/6P1/2p5/p2R4/8/8 w - - 0 1 | ♚♛♟♟♟♟ vs ♔♖♘♙♙ | w | ½-½
