PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
a7bmf,8/8/p2r1k2/8/7P/2P2KR1/8/8 w - - 0 46,h4h5 d6d3 f3f4 d3g3 f4g3 a6a5 c3c4 a5a4 h5h6 a4a3,1960,75,90,100,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/eHp06XZu#91,
a7bo6,2R3k1/1p3p2/4p1p1/p3Bn1p/8/1P6/P2r2PP/6K1 b - - 1 28,g8h7 c8h8,538,91,100,54,endgame mate mateIn1 oneMove,https://lichess.org/DpRQ0dRn/black#56,
a7c04,4r1k1/pp3ppp/3q4/3Pr3/6R1/1PNQ1PK1/P1P3PP/7R w - - 6 25,f3f4 e5e3 d3e3 e8e3,1031,80,44,152,crushing fork middlegame short,https://lichess.org/B5uDdjza#49,
a7c7o,8/b1p2pk1/Q3n1r1/P2pP1pR/3P2P1/qNP2p2/3N1PK1/8 w - - 0 38,g2f3 e6d4 c3d4 g6a6,1937,74,86,124,crushing discoveredAttack middlegame short,https://lichess.org/VDyqZEck#75,
a7cAn,8/5rk1/6r1/3Q3p/3P3K/6P1/8/8 b - - 4 71,g7h6 d5f7 g6g4 h4h3 g4h4 h3g2,1903,79,91,80,crushing defensiveMove endgame hangingPiece long queenRookEndgame,https://lichess.org/SWIsr0CY/black#142,
a7cBc,5rk1/p1p2p2/5Q2/2pb2p1/3P3q/5R1P/PPB3P1/7K w - - 1 28,f3f5 h4h3 h1g1 h3g2,1623,73,96,16283,endgame mate mateIn2 pin short,https://lichess.org/4HhZ9FIe#55,
a7cC9,r5k1/pb4pp/2qn2r1/2p2p2/3p4/1P1P1PQ1/PBPN2PP/R3R1K1 w - - 1 19,g3f4 g6g4 f4e5 a8e8 e5d6 e8e1,1955,74,95,3647,crushing long master middlegame,https://lichess.org/YRgfk1Ei#37,Sicilian_Defense Sicilian_Defense_French_Variation
a7cCD,r5k1/ppp4p/4b1p1/3pN1q1/3P4/3B2Pn/PPP3KP/R1Q2r2 w - - 0 20,c1g5 f1f2 g2h1 h3g5,1511,74,89,1286,crushing intermezzo middlegame short,https://lichess.org/6wGmCgS1#39,
a7cDc,5k2/6r1/2R5/2N5/1p5P/3P3K/Pr6/8 b - - 0 33,b2g2 c5e6 f8e7 e6g7,1252,75,89,1498,advantage endgame fork master short,https://lichess.org/iIYLxPTr/black#66,
a7cHL,8/6p1/4Bp1p/1p2kP1P/1P3r2/P2K4/2N5/2b5 b - - 19 59,f4f5 e6f5 e5f5 c2d4 f5e5 d4b5,2027,102,77,21,advantage attraction endgame long,https://lichess.org/nwbnEGIh/black#118,
a7cJO,4nrk1/rp2Rp1p/1p1q2p1/1P1pN3/pQ1P4/P3PP2/6PP/2R3K1 w - - 4 25,e7e8 d6b4 a3b4 f8e8,1292,75,86,246,crushing intermezzo middlegame short,https://lichess.org/Nlc1xklU#49,
